Gene_name,Phenotype
ZNF467,Undifferentiated
ZNF185,Undifferentiated
TNFAIP2,Undifferentiated
TMEM200A,Undifferentiated
TMEM184A,Undifferentiated
TRERF1,Undifferentiated
SAMD11,Undifferentiated
SOX9,Undifferentiated
SLC16A14,Undifferentiated
SERPINB7,Undifferentiated
MECOM,Undifferentiated
LYPD6B,Undifferentiated
LAMA5,Undifferentiated
IL7R,Undifferentiated
IL4R,Undifferentiated
GATA2,Undifferentiated
GPRC5A,Undifferentiated
FLNC,Undifferentiated
FERMT1,Undifferentiated
FAT4,Undifferentiated
EGFR,Undifferentiated
CRIM1,Undifferentiated
CDK15,Undifferentiated
CCDC69,Undifferentiated
F2RL1,Undifferentiated
CARD11,Undifferentiated
CREB3L1,Undifferentiated
CNN1,Undifferentiated
BNC1,Undifferentiated
ATP8B1,Undifferentiated
AR,Undifferentiated
CXCL8,Neural_crest-like
CEMIP,Neural_crest-like
WNT5A,Neural_crest-like
TGFBI,Neural_crest-like
TGFA,Neural_crest-like
TFAP2C,Neural_crest-like
TSPAN13,Neural_crest-like
SOX2,Neural_crest-like
SLC24A3,Neural_crest-like
SLITRK6,Neural_crest-like
SHISA2,Neural_crest-like
PSG4,Undifferentiated
PBX1,Undifferentiated
PLAGL1,Undifferentiated
PHLDB2,Undifferentiated
PLEKHA6,Undifferentiated
NUAK1,Undifferentiated
SEMA3B,Neural_crest-like
RAMP1,Neural_crest-like
PMEPA1,Neural_crest-like
PLA2G7,Neural_crest-like
NTM,Neural_crest-like
MUC5B,Neural_crest-like
LRRC15,Neural_crest-like
ITGB8,Neural_crest-like
GLI2,Neural_crest-like
FOXC2,Neural_crest-like
FLT1,Neural_crest-like
CYB5R2,Neural_crest-like
CSRP2,Neural_crest-like
CCL2,Neural_crest-like
CADM3,Neural_crest-like
CADM1,Neural_crest-like
CD96,Neural_crest-like
AIM2,Neural_crest-like
XYLT1,Transitory
TSPAN7,Transitory
SOD3,Transitory
SCRG1,Transitory
SELENBP1,Transitory
RNASE1,Transitory
RAPGEF4,Transitory
PCDH7,Transitory
PRSS33,Transitory
PCSK6,Transitory
PLBD1,Transitory
NPR1,Transitory
MMP15,Transitory
MAMDC2,Transitory
LSAMP,Transitory
LRRTM4,Transitory
GDF11,Transitory
FXYD3,Transitory
EBF3,Transitory
COL11A2,Transitory
COL9A1,Transitory
CX3CL1,Transitory
ANO4,Transitory
ALDH1A1,Transitory
CCDC171,Melanocytic
CFAP61,Melanocytic
ZDHHC11B,Melanocytic
TNFRSF14,Melanocytic
TPPP,Melanocytic
TRIM63,Melanocytic
TRPM1,Melanocytic
TSPAN10,Melanocytic
SLC7A8,Melanocytic
SEMA6A,Melanocytic
RNF144B,Melanocytic
RGS12,Melanocytic
NR4A3,Melanocytic
NAV2,Melanocytic
MYO1D,Melanocytic
MAPK4,Melanocytic
MLANA,Melanocytic
KCP,Melanocytic
IL16,Melanocytic
IL12RB2,Melanocytic
GOLGA7B,Melanocytic
GPR143,Melanocytic
EPHA5,Melanocytic
C2orf88,Melanocytic
CEACAM1,Melanocytic
CAPG,Melanocytic
CDH3,Melanocytic
ATP6V0D2,Melanocytic
ABCD1,Melanocytic
ABCB5,Melanocytic
ADAM23,Melanocytic
